0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:42:56 +0700] "GET /hrdcontactlist/pages/pg_contact.jsp HTTP/1.1" 200 12273
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:42:56 +0700] "GET /hrdcontactlist/bower_components/datatables-responsive/css/dataTables.responsive.css HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:42:57 +0700] "GET /hrdcontactlist/pages/pg_contact_form.jsp HTTP/1.1" 200 9414
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:42:59 +0700] "GET /hrdcontactlist/pages/pages/pg_contact.jsp HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/index.jsp HTTP/1.1" 200 11267
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/dist/css/timeline.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/bower_components/morrisjs/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2016:04:43:37 +0700] "GET /hrdcontactlist/bower_components/raphael/raphael-min.js HTTP/1.1" 304 -
